Neurons,% Error,number of patterns,iterations
101.0,0.0,3.0,1.0
101.0,0.0,5.0,1.0
101.0,0.0,7.0,1.0
101.0,0.04,11.0,1.0
101.0,0.26,13.0,1.17
101.0,1.0,17.0,2.8
101.0,1.44,19.0,4.42
101.0,2.22,23.0,8.88
101.0,4.42,29.0,24.42
101.0,4.51,31.0,27.02
101.0,7.77,37.0,63.83
101.0,8.65,41.0,66.23
101.0,8.59,43.0,71.95
101.0,10.07,47.0,80.54
101.0,12.62,53.0,91.5
101.0,13.34,59.0,88.37
101.0,13.56,61.0,95.34
101.0,14.21,67.0,94.57
101.0,15.38,71.0,94.38
101.0,14.85,73.0,95.62
101.0,16.1,79.0,96.73
101.0,16.74,83.0,96.76
101.0,18.44,89.0,99.0
101.0,18.96,97.0,98.71
