Neurons,% Error,number of patterns,iterations
101.0,0.0,3.0,1.0
101.0,0.0,5.0,1.0
101.0,0.0,7.0,1.0
101.0,0.06,11.0,1.0
101.0,0.34,13.0,1.0
101.0,0.81,17.0,2.0
101.0,1.33,19.0,5.0
101.0,2.19,23.0,10.0
101.0,4.56,29.0,26.0
101.0,4.47,31.0,32.0
101.0,7.29,37.0,58.0
101.0,8.9,41.0,68.0
101.0,9.81,43.0,71.0
101.0,10.5,47.0,79.0
101.0,12.2,53.0,89.0
101.0,13.11,59.0,89.0
101.0,13.88,61.0,89.0
101.0,14.54,67.0,93.0
101.0,15.01,71.0,93.0
101.0,15.7,73.0,96.0
101.0,16.19,79.0,97.0
101.0,17.35,83.0,98.0
101.0,18.5,89.0,99.0
101.0,18.39,97.0,99.0
