Neurons,% Error,number of patterns
101.0,0.0,3.0
101.0,0.0,5.0
101.0,0.0,7.0
101.0,0.0,11.0
101.0,0.0,13.0
101.0,0.0,17.0
101.0,0.0,19.0
101.0,0.0,23.0
101.0,0.0,29.0
101.0,0.0,31.0
101.0,0.0,37.0
101.0,0.0,41.0
101.0,0.0,43.0
101.0,0.0,47.0
101.0,0.0,53.0
101.0,0.0,59.0
101.0,0.0,61.0
101.0,0.0,67.0
101.0,0.0,71.0
101.0,0.0,73.0
101.0,0.0,79.0
101.0,0.0,83.0
101.0,0.0,89.0
101.0,0.0,97.0
101.0,0.0,101.0
101.0,0.0,103.0
101.0,0.0,107.0
101.0,0.0,109.0
101.0,0.0,113.0
101.0,0.0,127.0
101.0,0.0,131.0
101.0,0.0,137.0
101.0,0.0,139.0
101.0,0.0,149.0
101.0,0.0,151.0
101.0,0.0,157.0
101.0,0.0,163.0
101.0,0.0,167.0
101.0,0.0,173.0
101.0,0.0,179.0
101.0,0.0,181.0
101.0,0.0,191.0
101.0,0.0,193.0
101.0,0.0,197.0
101.0,0.0,199.0
101.0,0.0,211.0
101.0,0.0,223.0
101.0,0.0,227.0
101.0,0.0,229.0
101.0,0.0,233.0
101.0,0.0,239.0
101.0,0.0,241.0
101.0,0.0,251.0
101.0,0.0,257.0
101.0,0.0,263.0
101.0,0.0,269.0
101.0,0.0,271.0
101.0,0.0,277.0
101.0,0.0,281.0
101.0,0.0,283.0
101.0,0.0,293.0
101.0,0.0,307.0
101.0,0.0,311.0
101.0,0.0,313.0
101.0,0.0,317.0
101.0,0.0,331.0
101.0,0.0,337.0
101.0,0.0,347.0
101.0,0.0,349.0
101.0,0.0,353.0
101.0,0.0,359.0
101.0,0.0,367.0
101.0,0.0,373.0
101.0,0.0,379.0
101.0,0.0,383.0
101.0,0.0,389.0
101.0,0.0,397.0
101.0,0.0,401.0
101.0,0.0,409.0
101.0,0.0,419.0
101.0,0.0,421.0
101.0,0.0,431.0
101.0,0.0,433.0
101.0,0.0,439.0
101.0,0.0,443.0
101.0,0.0,449.0
101.0,0.0,457.0
101.0,0.0,461.0
101.0,0.0,463.0
101.0,0.0,467.0
101.0,0.0,479.0
101.0,0.0,487.0
101.0,0.0,491.0
101.0,0.0,499.0
101.0,0.0,503.0
101.0,0.0,509.0
101.0,0.0,521.0
101.0,0.0,523.0
101.0,0.0,541.0
101.0,0.0,547.0
101.0,0.0,557.0
101.0,0.0,563.0
101.0,0.0,569.0
101.0,0.0,571.0
101.0,0.0,577.0
101.0,0.0,587.0
101.0,0.0,593.0
101.0,0.0,599.0
101.0,0.0,601.0
101.0,0.0,607.0
101.0,0.0,613.0
101.0,0.0,617.0
101.0,0.0,619.0
101.0,0.0,631.0
101.0,0.0,641.0
101.0,0.0,643.0
101.0,0.0,647.0
101.0,0.0,653.0
101.0,0.0,659.0
101.0,0.0,661.0
101.0,0.0,673.0
101.0,0.0,677.0
101.0,0.0,683.0
101.0,0.0,691.0
101.0,0.0,701.0
101.0,0.0,709.0
101.0,0.0,719.0
101.0,0.0,727.0
101.0,0.0,733.0
101.0,0.0,739.0
101.0,0.0,743.0
101.0,0.0,751.0
101.0,0.0,757.0
101.0,0.0,761.0
101.0,0.0,769.0
101.0,0.0,773.0
101.0,0.0,787.0
101.0,0.0,797.0
101.0,0.0,809.0
101.0,0.0,811.0
101.0,0.0,821.0
101.0,0.0,823.0
101.0,0.0,827.0
101.0,0.0,829.0
101.0,0.0,839.0
101.0,0.0,853.0
101.0,0.0,857.0
101.0,0.0,859.0
101.0,0.0,863.0
101.0,0.0,877.0
101.0,0.0,881.0
101.0,0.0,883.0
101.0,0.0,887.0
101.0,0.0,907.0
101.0,0.0,911.0
101.0,0.0,919.0
101.0,0.0,929.0
101.0,0.0,937.0
101.0,0.0,941.0
101.0,0.0,947.0
101.0,0.0,953.0
101.0,0.0,967.0
101.0,0.0,971.0
101.0,0.0,977.0
101.0,0.0,983.0
101.0,0.0,991.0
101.0,0.0,997.0
101.0,0.0,1009.0
101.0,0.0,1013.0
101.0,0.0,1019.0
101.0,0.0,1021.0
101.0,0.0,1031.0
101.0,0.0,1033.0
101.0,0.0,1039.0
101.0,0.0,1049.0
101.0,0.0,1051.0
101.0,0.0,1061.0
101.0,0.0,1063.0
101.0,0.0,1069.0
101.0,0.0,1087.0
101.0,0.0,1091.0
101.0,0.0,1093.0
101.0,0.0,1097.0
101.0,0.0,1103.0
101.0,0.0,1109.0
101.0,0.0,1117.0
101.0,0.0,1123.0
101.0,0.0,1129.0
101.0,0.0,1151.0
101.0,0.0,1153.0
101.0,0.0,1163.0
101.0,0.0,1171.0
101.0,0.0,1181.0
101.0,0.0,1187.0
101.0,0.0,1193.0
101.0,0.0,1201.0
101.0,0.0,1213.0
101.0,0.0,1217.0
101.0,0.0,1223.0
101.0,0.0,1229.0
101.0,0.0,1231.0
101.0,0.0,1237.0
101.0,0.0,1249.0
101.0,0.0,1259.0
101.0,0.0,1277.0
101.0,0.0,1279.0
101.0,0.0,1283.0
101.0,0.0,1289.0
101.0,0.0,1291.0
101.0,0.0,1297.0
101.0,0.0,1301.0
101.0,0.0,1303.0
101.0,0.0,1307.0
101.0,0.0,1319.0
101.0,0.0,1321.0
101.0,0.0,1327.0
101.0,0.0,1361.0
101.0,0.0,1367.0
101.0,0.0,1373.0
101.0,0.0,1381.0
101.0,0.0,1399.0
101.0,0.0,1409.0
101.0,0.0,1423.0
101.0,0.0,1427.0
101.0,0.0,1429.0
101.0,0.0,1433.0
101.0,0.0,1439.0
101.0,0.0,1447.0
101.0,0.0,1451.0
101.0,0.0,1453.0
101.0,0.0,1459.0
101.0,0.0,1471.0
101.0,0.0,1481.0
101.0,0.0,1483.0
101.0,0.0,1487.0
101.0,0.0,1489.0
101.0,0.0,1493.0
101.0,0.0,1499.0
101.0,0.0,1511.0
101.0,0.0,1523.0
101.0,0.0,1531.0
101.0,0.0,1543.0
101.0,0.0,1549.0
101.0,0.0,1553.0
101.0,0.0,1559.0
101.0,0.0,1567.0
101.0,0.0,1571.0
101.0,0.0,1579.0
101.0,0.0,1583.0
101.0,0.0,1597.0
101.0,0.0,1601.0
101.0,0.0,1607.0
101.0,0.0,1609.0
101.0,0.0,1613.0
101.0,0.0,1619.0
101.0,0.0,1621.0
101.0,0.0,1627.0
101.0,0.0,1637.0
101.0,0.0,1657.0
101.0,0.0,1663.0
101.0,0.0,1667.0
101.0,0.0,1669.0
101.0,0.0,1693.0
101.0,0.0,1697.0
101.0,0.0,1699.0
101.0,0.0,1709.0
101.0,0.0,1721.0
101.0,0.0,1723.0
101.0,0.0,1733.0
101.0,0.0,1741.0
101.0,0.0,1747.0
101.0,0.0,1753.0
101.0,0.0,1759.0
101.0,0.0,1777.0
101.0,0.0,1783.0
101.0,0.0,1787.0
101.0,0.0,1789.0
101.0,0.0,1801.0
101.0,0.0,1811.0
101.0,0.0,1823.0
101.0,0.0,1831.0
101.0,0.0,1847.0
101.0,0.0,1861.0
101.0,0.0,1867.0
101.0,0.0,1871.0
101.0,0.0,1873.0
101.0,0.0,1877.0
101.0,0.0,1879.0
101.0,0.0,1889.0
101.0,0.0,1901.0
101.0,0.0,1907.0
101.0,0.0,1913.0
101.0,0.0,1931.0
101.0,0.0,1933.0
